Key,File,Type,UsedInMainMenu,NoTranslate,german,english
rankName,,,,,"Dienstgrad","Rank"
rank01,,,,,"Landratte","Landlubber"
promotion01,,,,,"Willkommen an Deck Landratte!","Welcome on deck landlubber!"
rank02,,,,,"Matrose","Sailor"
promotion02,,,,,"Du hast dich als Landratte bewährt und wurdest zum Matrosen befördert!","You proved yourself as a landlubber and were promoted to sailor!"
rank03,,,,,"Gefreiter","Private"
promotion03,,,,,"Du machst dich gut und bist nun Gefreiter!","You are doing well and are now a private!"
rank04,,,,,"Unteroffizier","Sergeant"
promotion04,,,,,"Du bist ne coole Socke und hast dir die Beförderung zum Unteroffizier verdient!","You're a cool sock and you've earned that promotion to sergeant!"
rank05,,,,,"Obermaat","Chief"
promotion05,,,,,"Als alter Hase, kannst du dich über die Beförderung zum Obermaat freuen!","As an old hand, you can be happy about the promotion to chief!"
rank06,,,,,"Leutnant","Lieutenant"
promotion06,,,,,"Du bist so krass, das du zum Offizier befördert wurdest!","You're so badass you've been promoted to officer!"
rank07,,,,,"Hauptmann","Captain"
promotion07,,,,,"Auch als Offizier machst du dich gut und wurdest zum Hauptmann befördert!","You are also doing well as an officer and have been promoted to Captain!"
rank08,,,,,"Kapitän","Skipper"
promotion08,,,,,"Mehr kann man schon fast gar nicht erreichen! Glückwunsch Herr Kapitän!","It is almost impossible to achieve more! Congratulations Mr. Skipper!"
rank09,,,,,"Admiral","Admiral"
promotion09,,,,,"Großartig, wie du Karriere machst! Ich salutiere Herr Admiral!","Great how you make your career! I salute you, Admiral!"
rank10,,,,,"Botschafter","Ambassador"
promotion10,,,,,"Mehr geht nun wirklich nicht! Du bist an der der Spitze angelangt Herr Botschafter!","More is really not possible! You have reached the top, Mr. Ambassador!"
